duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp,Version,Algorithm
683572.806,8508523.0,197265.0,2220,45.0,0,45.0,3.7,spectralnorm
658340.052,8646706.0,189392.0,2204,45.0,0,65.0,3.7,spectralnorm
680261.075,8434854.0,195800.0,2208,45.0,0,45.0,3.7,spectralnorm
658267.766,8559365.0,189026.0,2216,45.0,0,63.0,3.7,spectralnorm
680408.705,8457071.0,196167.0,2216,45.0,0,45.0,3.7,spectralnorm
649644.772,8921058.0,186828.0,2152,45.0,0,63.0,3.7,spectralnorm
680898.808,8440164.0,196410.0,2192,45.0,0,45.0,3.7,spectralnorm
649850.961,8833778.0,186706.0,2220,45.0,0,63.0,3.7,spectralnorm
680989.274,8434305.0,196044.0,2220,45.0,0,45.0,3.7,spectralnorm
650673.526,8951087.0,187133.0,2156,45.0,0,63.0,3.7,spectralnorm
686028.919,8593240.0,197997.0,2192,45.0,0,45.0,5.0,spectralnorm
658414.152,8787453.0,189940.0,2212,45.0,0,65.0,5.0,spectralnorm
682557.948,8594765.0,196289.0,2188,45.0,0,45.0,5.0,spectralnorm
649201.488,9090126.0,186340.0,2220,45.0,0,62.0,5.0,spectralnorm
680633.712,8619485.0,196044.0,2208,45.0,0,45.0,5.0,spectralnorm
649483.961,9122291.0,186401.0,2152,45.0,0,62.0,5.0,spectralnorm
683289.21,8544351.0,196594.0,2200,45.0,0,45.0,5.0,spectralnorm
650131.091,9063881.0,186767.0,2212,45.0,0,63.0,5.0,spectralnorm
680869.572,8562783.0,196106.0,2188,45.0,0,45.0,5.0,spectralnorm
650858.578,9064125.0,187255.0,2200,45.0,0,62.0,5.0,spectralnorm
686127.411,8584024.0,197936.0,2152,45.0,0,45.0,7.0,spectralnorm
656742.713,8779580.0,188781.0,2220,45.0,0,62.0,7.0,spectralnorm
683317.025,8536660.0,196594.0,2204,45.0,0,45.0,7.0,spectralnorm
657883.334,8840920.0,189087.0,2216,45.0,0,65.0,7.0,spectralnorm
680612.572,8619363.0,196045.0,2192,45.0,0,45.0,7.0,spectralnorm
658247.275,8795571.0,189086.0,2208,45.0,0,63.0,7.0,spectralnorm
682679.928,8546120.0,196654.0,2216,45.0,0,45.0,7.0,spectralnorm
658258.697,8717812.0,189392.0,2216,45.0,0,62.0,7.0,spectralnorm
680809.554,8578225.0,196045.0,2152,45.0,0,45.0,7.0,spectralnorm
658242.89,8789711.0,189269.0,2220,45.0,0,65.0,7.0,spectralnorm
684488.792,8593789.0,197754.0,2204,45.0,0,45.0,6.0,spectralnorm
652059.175,9075111.0,187560.0,2220,45.0,0,64.0,6.0,spectralnorm
680367.693,8571268.0,195678.0,2216,45.0,0,45.0,6.0,spectralnorm
652873.608,8956764.0,187744.0,2216,45.0,0,62.0,6.0,spectralnorm
680824.896,8589883.0,196045.0,2216,45.0,0,45.0,6.0,spectralnorm
653373.529,9099464.0,187988.0,2200,45.0,0,64.0,6.0,spectralnorm
680487.593,8570962.0,195739.0,2208,45.0,0,45.0,6.0,spectralnorm
654188.87,8984596.0,188293.0,2212,45.0,0,61.0,6.0,spectralnorm
681398.65,8563943.0,196105.0,2196,45.0,0,45.0,6.0,spectralnorm
655058.806,8918435.0,188110.0,2220,45.0,0,61.0,6.0,spectralnorm
687028.962,8574075.0,198364.0,2220,45.0,0,45.0,4.0,spectralnorm
655546.662,8902687.0,188598.0,2216,45.0,0,62.0,4.0,spectralnorm
681179.898,8579628.0,196044.0,2188,45.0,0,45.0,4.0,spectralnorm
656460.303,8895241.0,188416.0,2192,45.0,0,63.0,4.0,spectralnorm
680868.223,8574074.0,196105.0,2204,45.0,0,45.0,4.0,spectralnorm
657341.314,8828957.0,189148.0,2156,45.0,0,62.0,4.0,spectralnorm
680532.242,8554849.0,195679.0,2156,45.0,0,45.0,4.0,spectralnorm
658212.247,8755227.0,188964.0,2192,45.0,0,62.0,4.0,spectralnorm
683512.382,8547707.0,196960.0,2204,45.0,0,45.0,4.0,spectralnorm
658245.518,8670876.0,189026.0,2216,45.0,0,62.0,4.0,spectralnorm
685707.622,8491251.0,198181.0,2152,45.0,0,45.0,14.0,spectralnorm
655590.314,8798256.0,188659.0,2156,45.0,0,63.0,14.0,spectralnorm
680592.558,8525430.0,195739.0,2216,45.0,0,45.0,14.0,spectralnorm
656823.966,8801613.0,188782.0,2216,45.0,0,61.0,14.0,spectralnorm
679454.649,8488016.0,195495.0,2192,45.0,0,45.0,14.0,spectralnorm
657197.186,8744850.0,188720.0,2220,45.0,0,64.0,14.0,spectralnorm
680437.487,8483743.0,196228.0,2216,45.0,0,45.0,14.0,spectralnorm
657888.81,8739541.0,189025.0,2220,45.0,0,61.0,14.0,spectralnorm
681011.677,8502908.0,196045.0,2220,45.0,0,45.0,14.0,spectralnorm
658254.349,8781899.0,189391.0,2156,45.0,0,64.0,14.0,spectralnorm
684609.597,8697792.0,197326.0,2216,45.0,0,45.0,12.0,spectralnorm
658367.562,9040749.0,189148.0,2220,45.0,0,64.0,12.0,spectralnorm
682849.426,8674600.0,196777.0,2200,45.0,0,45.0,12.0,spectralnorm
658248.403,8963356.0,189025.0,2220,45.0,0,61.0,12.0,spectralnorm
681005.874,8744057.0,196167.0,2220,45.0,0,45.0,12.0,spectralnorm
658275.469,8945228.0,189025.0,2216,45.0,0,64.0,12.0,spectralnorm
682490.432,8652993.0,196289.0,2156,45.0,0,45.0,12.0,spectralnorm
649520.953,9220313.0,186401.0,2220,45.0,0,61.0,12.0,spectralnorm
680639.539,8681923.0,195984.0,2196,45.0,0,45.0,12.0,spectralnorm
650522.99,9216590.0,186706.0,2156,45.0,0,64.0,12.0,spectralnorm
684917.555,8558144.0,197692.0,2216,45.0,0,45.0,8.0,spectralnorm
658339.317,8807778.0,189697.0,2208,45.0,0,63.0,8.0,spectralnorm
681052.414,8530923.0,196227.0,2200,45.0,0,45.0,8.0,spectralnorm
658283.619,8771950.0,188964.0,2196,45.0,0,63.0,8.0,spectralnorm
682703.77,8538369.0,196654.0,2216,45.0,0,45.0,8.0,spectralnorm
649599.347,9098487.0,186706.0,2204,45.0,0,65.0,8.0,spectralnorm
679779.174,8561929.0,195312.0,2200,45.0,0,45.0,8.0,spectralnorm
650696.462,9082191.0,186767.0,2212,45.0,0,64.0,8.0,spectralnorm
680665.375,8592446.0,196594.0,2200,45.0,0,45.0,8.0,spectralnorm
651432.19,9058144.0,187133.0,2220,45.0,0,64.0,8.0,spectralnorm
684060.902,8626076.0,197814.0,2212,45.0,0,45.0,10.0,spectralnorm
