duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp,Version,Algorithm
587541.493,19539440.0,183837.0,40512,45.0,0,45.0,18,spectralnorm
568501.818,20347055.0,178100.0,40480,45.0,0,70.0,18,spectralnorm
578379.986,19415417.0,180542.0,40568,45.0,0,45.0,18,spectralnorm
540434.896,19376476.0,169738.0,40448,45.0,0,70.0,18,spectralnorm
566542.883,19045972.0,177429.0,40528,45.0,0,45.0,18,spectralnorm
563056.269,20318674.0,176757.0,40392,45.0,0,70.0,18,spectralnorm
575233.075,19486401.0,179626.0,40484,45.0,0,45.0,18,spectralnorm
545981.995,19762339.0,171386.0,40404,45.0,0,70.0,18,spectralnorm
585815.715,19997019.0,183044.0,40464,45.0,0,45.0,18,spectralnorm
544295.374,19370433.0,171325.0,40468,45.0,0,70.0,18,spectralnorm
526460.769,17489091.0,167175.0,42344,45.0,0,45.0,19,spectralnorm
509630.453,18305434.0,162414.0,42388,45.0,0,70.0,19,spectralnorm
529891.869,17384477.0,168030.0,42304,45.0,0,45.0,19,spectralnorm
508994.195,18252822.0,162292.0,42284,45.0,0,70.0,19,spectralnorm
526599.531,17334733.0,166992.0,42356,45.0,0,45.0,19,spectralnorm
502946.182,17881302.0,160644.0,42368,45.0,0,70.0,19,spectralnorm
538712.531,17894790.0,170959.0,42244,45.0,0,45.0,19,spectralnorm
510610.29,18141616.0,163452.0,42352,45.0,0,70.0,19,spectralnorm
544720.902,18120010.0,172424.0,42400,45.0,0,45.0,19,spectralnorm
512380.781,18230910.0,162903.0,42308,45.0,0,70.0,19,spectralnorm
534074.132,17084307.0,169372.0,43000,45.0,0,45.0,20,spectralnorm
503872.417,17511918.0,160705.0,42788,45.0,0,69.0,20,spectralnorm
528540.741,16895892.0,167968.0,42792,45.0,0,45.0,20,spectralnorm
506695.168,17539262.0,160888.0,42956,45.0,0,69.0,20,spectralnorm
530003.262,17027728.0,168456.0,42932,45.0,0,45.0,20,spectralnorm
507766.284,17436967.0,162170.0,43196,45.0,0,69.0,20,spectralnorm
532620.4,17051653.0,168823.0,42924,45.0,0,45.0,20,spectralnorm
503255.099,17491716.0,161376.0,42848,45.0,0,69.0,20,spectralnorm
523013.499,16944659.0,166015.0,42864,45.0,0,45.0,20,spectralnorm
500817.588,17410477.0,159850.0,42904,45.0,0,69.0,20,spectralnorm
589969.544,18509779.0,186706.0,37288,45.0,0,45.0,11,spectralnorm
557206.315,19210339.0,176697.0,37280,45.0,0,69.0,11,spectralnorm
582032.659,18492568.0,183288.0,37488,45.0,0,45.0,11,spectralnorm
557173.077,19135143.0,176208.0,37256,45.0,0,69.0,11,spectralnorm
581737.389,18591993.0,182739.0,37184,45.0,0,45.0,11,spectralnorm
555943.158,18905286.0,175781.0,37324,45.0,0,69.0,11,spectralnorm
582565.061,18527113.0,183288.0,37360,45.0,0,45.0,11,spectralnorm
561096.263,19607616.0,176941.0,37232,45.0,0,70.0,11,spectralnorm
586789.962,18604140.0,185424.0,37312,45.0,0,45.0,11,spectralnorm
562915.602,19676158.0,179809.0,37264,45.0,0,69.0,11,spectralnorm
717102.173,21778570.0,224547.0,39108,45.0,0,45.0,10,spectralnorm
693450.18,22253483.0,218262.0,39576,45.0,0,65.0,10,spectralnorm
719482.805,21818426.0,224365.0,39092,45.0,0,45.0,10,spectralnorm
685974.272,22021977.0,215270.0,39596,45.0,0,65.0,10,spectralnorm
722632.75,21775763.0,226318.0,39764,45.0,0,45.0,10,spectralnorm
777024.047,22059758.0,242065.0,39516,45.0,0,60.0,10,spectralnorm
719072.175,21815679.0,224426.0,39652,45.0,0,45.0,10,spectralnorm
787419.852,22140447.0,244690.0,39748,45.0,0,61.0,10,spectralnorm
724556.002,21793645.0,226562.0,39648,45.0,0,45.0,10,spectralnorm
681807.44,22187199.0,213989.0,39528,45.0,0,65.0,10,spectralnorm
557973.004,18677443.0,176086.0,41188,45.0,0,45.0,12,spectralnorm
518761.121,18438673.0,163574.0,41164,45.0,0,70.0,12,spectralnorm
548508.923,18105666.0,172485.0,41260,45.0,0,45.0,12,spectralnorm
537015.814,18743421.0,169189.0,41104,45.0,0,69.0,12,spectralnorm
543780.102,18085708.0,170226.0,41092,45.0,0,45.0,12,spectralnorm
528878.978,19163281.0,167358.0,41132,45.0,0,70.0,12,spectralnorm
555119.339,18603163.0,174011.0,41100,45.0,0,45.0,12,spectralnorm
530247.511,18337966.0,167846.0,41072,45.0,0,70.0,12,spectralnorm
552845.169,18699842.0,178649.0,41120,45.0,0,45.0,12,spectralnorm
528234.504,18838453.0,167175.0,41292,45.0,0,70.0,12,spectralnorm
550488.31,18353041.0,173339.0,41360,45.0,0,45.0,13,spectralnorm
521208.459,18898450.0,165283.0,41472,45.0,0,70.0,13,spectralnorm
549750.701,18325942.0,172607.0,41540,45.0,0,45.0,13,spectralnorm
525947.026,18589064.0,166138.0,41400,45.0,0,70.0,13,spectralnorm
547882.547,18246840.0,172301.0,41488,45.0,0,45.0,13,spectralnorm
523287.726,18759839.0,165283.0,41440,45.0,0,70.0,13,spectralnorm
541959.063,18215102.0,170471.0,41584,45.0,0,45.0,13,spectralnorm
522987.69,18655958.0,165344.0,41424,45.0,0,70.0,13,spectralnorm
555348.745,18415968.0,178588.0,41476,45.0,0,45.0,13,spectralnorm
522495.008,18805250.0,165038.0,41544,45.0,0,70.0,13,spectralnorm
539877.146,17421769.0,170104.0,41332,45.0,0,45.0,17,spectralnorm
512892.225,17900223.0,162048.0,41288,45.0,0,69.0,17,spectralnorm
537109.843,17414018.0,168335.0,41380,45.0,0,45.0,17,spectralnorm
508399.151,17772965.0,160217.0,41324,45.0,0,69.0,17,spectralnorm
533109.618,17366899.0,167114.0,41264,45.0,0,45.0,17,spectralnorm
506562.965,17701798.0,159790.0,41188,45.0,0,69.0,17,spectralnorm
537758.444,17454851.0,168274.0,41300,45.0,0,45.0,17,spectralnorm
509163.498,17815018.0,160583.0,41228,45.0,0,69.0,17,spectralnorm
541410.704,17519792.0,169982.0,41244,45.0,0,45.0,17,spectralnorm
515085.406,17847977.0,161926.0,41284,45.0,0,69.0,17,spectralnorm
520301.032,17018877.0,163085.0,40936,45.0,0,45.0,16,spectralnorm
505529.35,17809647.0,159546.0,40924,45.0,0,70.0,16,spectralnorm
530110.267,17293840.0,166015.0,41012,45.0,0,45.0,16,spectralnorm
489083.026,17324296.0,154236.0,40964,45.0,0,70.0,16,spectralnorm
