duration,package,dram,peak_rss,initial_temp,mid_temp,final_temp,Version,Algorithm
100638722.941,3035482647.0,29018419.0,14668,45.0,0,89.0,3.10,spectralnorm
100517447.308,3037910619.0,28981860.0,14604,45.0,0,89.0,3.10,spectralnorm
106816143.47,3215521310.0,30771650.0,14708,45.0,0,89.0,3.10,spectralnorm
111269723.387,3333958200.0,32038431.0,14712,45.0,0,89.0,3.10,spectralnorm
100581136.484,3044388507.0,29001818.0,14628,45.0,0,89.0,3.10,spectralnorm
101770363.63,3051583619.0,29336595.0,14644,45.0,0,89.0,3.10,spectralnorm
109947705.313,3321387494.0,31663249.0,14596,45.0,0,89.0,3.10,spectralnorm
100973266.401,3058868634.0,29117845.0,14584,45.0,0,89.0,3.10,spectralnorm
99839458.377,3019144554.0,28796557.0,14708,45.0,0,89.0,3.10,spectralnorm
100528026.82,3030626397.0,28966357.0,14576,45.0,0,89.0,3.10,spectralnorm
79727197.942,2641645764.0,23774475.0,16064,45.0,0,89.0,3.11,spectralnorm
81680273.324,2635455717.0,23562623.0,16208,45.0,0,89.0,3.11,spectralnorm
77940605.584,2558193585.0,22490421.0,16256,45.0,0,89.0,3.11,spectralnorm
79061546.122,2558875163.0,22834475.0,16264,45.0,0,89.0,3.11,spectralnorm
78826537.363,2517670618.0,22777957.0,16180,45.0,0,89.0,3.11,spectralnorm
80146394.865,2628480636.0,23186769.0,16204,45.0,0,89.0,3.11,spectralnorm
78461227.408,2521467972.0,22735965.0,16160,45.0,0,89.0,3.11,spectralnorm
77719331.369,2500236946.0,22516238.0,16072,45.0,0,89.0,3.11,spectralnorm
86475889.984,2807618300.0,25008115.0,16224,45.0,0,89.0,3.11,spectralnorm
79268127.949,2564155118.0,22936648.0,16156,45.0,0,89.0,3.11,spectralnorm
99339274.751,3096005318.0,28638537.0,13944,45.0,0,89.0,3.6,spectralnorm
98574903.966,3064205351.0,28416370.0,13972,45.0,0,89.0,3.6,spectralnorm
97270993.031,3125809075.0,28040334.0,14004,45.0,0,89.0,3.6,spectralnorm
96772396.643,3155761147.0,27910085.0,13952,45.0,0,89.0,3.6,spectralnorm
99975972.543,3232892846.0,28811877.0,14004,45.0,0,89.0,3.6,spectralnorm
97071496.198,3135625823.0,27984303.0,13964,45.0,0,89.0,3.6,spectralnorm
97774701.49,3078597709.0,28193043.0,14076,45.0,0,89.0,3.6,spectralnorm
97671979.932,3131506022.0,28156971.0,13992,45.0,0,89.0,3.6,spectralnorm
98474652.087,3058036544.0,28396228.0,13968,45.0,0,89.0,3.6,spectralnorm
97070283.938,3128983872.0,27978688.0,13996,45.0,0,89.0,3.6,spectralnorm
93637472.485,3024792184.0,27033378.0,14420,45.0,0,89.0,3.7,spectralnorm
92963548.228,2994053248.0,26818840.0,14472,45.0,0,89.0,3.7,spectralnorm
92363759.853,3016509062.0,26670281.0,14464,45.0,0,88.0,3.7,spectralnorm
93066510.514,2992374053.0,26858635.0,14448,45.0,0,89.0,3.7,spectralnorm
92562713.199,2994608911.0,26707879.0,14388,45.0,0,89.0,3.7,spectralnorm
93165882.179,3014492099.0,26888115.0,14540,45.0,0,89.0,3.7,spectralnorm
94070420.06,2964908853.0,27156425.0,14420,45.0,0,89.0,3.7,spectralnorm
96067615.87,2935747550.0,27711782.0,14436,45.0,0,89.0,3.7,spectralnorm
94466565.524,2946750452.0,27256461.0,14496,45.0,0,89.0,3.7,spectralnorm
95468155.772,2975238599.0,27531363.0,14476,45.0,0,89.0,3.7,spectralnorm
118159957.224,3680817542.0,33991735.0,14268,45.0,0,89.0,3.5,spectralnorm
118098451.407,3828749781.0,33967870.0,14324,45.0,0,89.0,3.5,spectralnorm
118198115.007,3704343911.0,33988255.0,14280,45.0,0,89.0,3.5,spectralnorm
122405198.072,3931934026.0,35199007.0,14012,45.0,0,89.0,3.5,spectralnorm
117296141.58,3750577129.0,33726538.0,14308,45.0,0,89.0,3.5,spectralnorm
118102792.427,3667229320.0,33967076.0,14256,45.0,0,89.0,3.5,spectralnorm
121607620.961,3723415944.0,34954439.0,14236,45.0,0,89.0,3.5,spectralnorm
118000108.938,3691469736.0,33937169.0,14052,45.0,0,89.0,3.5,spectralnorm
118498524.04,3643935557.0,34094090.0,14216,45.0,0,89.0,3.5,spectralnorm
116096171.476,3733637415.0,33381018.0,14252,45.0,0,89.0,3.5,spectralnorm
109543579.151,3549685493.0,31422771.0,13908,45.0,0,89.0,3.4,spectralnorm
109185235.417,3500425181.0,31378216.0,13888,45.0,0,89.0,3.4,spectralnorm
109286450.124,3435946160.0,31390240.0,13952,45.0,0,89.0,3.4,spectralnorm
109583784.057,3554090328.0,31482585.0,13964,45.0,0,89.0,3.4,spectralnorm
108983012.047,3522459000.0,31351177.0,13844,45.0,0,89.0,3.4,spectralnorm
108683424.287,3512607279.0,31292217.0,13928,45.0,0,89.0,3.4,spectralnorm
108384743.394,3454889410.0,31259685.0,13868,45.0,0,89.0,3.4,spectralnorm
109788153.897,3440284894.0,31650493.0,13848,45.0,0,89.0,3.4,spectralnorm
108083915.434,3480985840.0,31173077.0,13940,45.0,0,89.0,3.4,spectralnorm
109987407.075,3429588266.0,31698284.0,13856,45.0,0,89.0,3.4,spectralnorm
98333668.38,3044660175.0,28364490.0,14384,45.0,0,89.0,3.9,spectralnorm
101219557.68,2940775553.0,29218431.0,14456,45.0,0,89.0,3.9,spectralnorm
99488343.916,2993350186.0,28686694.0,14520,45.0,0,89.0,3.9,spectralnorm
98976875.186,2986763106.0,28561512.0,14452,45.0,0,89.0,3.9,spectralnorm
99442810.884,2982486200.0,28669849.0,14516,45.0,0,89.0,3.9,spectralnorm
98840210.338,2996496785.0,28499622.0,14432,45.0,0,89.0,3.9,spectralnorm
98699948.323,2999243604.0,28461231.0,14428,45.0,0,89.0,3.9,spectralnorm
99248354.125,2991196994.0,28619800.0,14416,45.0,0,89.0,3.9,spectralnorm
98696498.107,3000242991.0,28454700.0,14460,45.0,0,89.0,3.9,spectralnorm
